"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Locus10000v1rpkm3.08",14.105773019451,-0.0358991263703376,0.746108573651604,-0.0481151505800826,0.961624471773497,0.991990421723888
"Locus10002v1rpkm3.08",14.552718950185,2.56981169894656,0.776647967506294,3.30885009227264,0.000936799814906305,0.0196921852833414
"Locus10004v1rpkm3.08",24.2838456662819,-0.433243705467369,0.486952143571046,-0.889704894386933,0.373624365259441,0.76865602289644
"Locus10005v1rpkm3.08",26.5793668611667,1.06505982763865,0.497683175102306,2.14003583187178,0.0323518710987716,0.247976929725991
"Locus10006v1rpkm3.08",30.1764385231329,0.0320940438488414,0.466159166969126,0.068847823067624,0.945110751065573,0.988162598841824
"Locus10007v1rpkm3.07",21.5983704735176,-0.119735376433188,0.500709333714981,-0.239131504789055,0.811003613041983,0.96322865981447
"Locus10008v1rpkm3.07",52.6925055278768,0.0684480038880771,0.379470386937361,0.180377721804615,0.856856042885386,0.973528064464183
"Locus10009v1rpkm3.07",6.52422409016218,0.345251735083902,0.965159368547273,0.357714742595893,0.720556799203299,0.935891185444451
"Locus10009v2rpkm1.98",10.0105467128037,0.660170531647593,0.718098997847257,0.919330807627745,0.357922568472383,0.761656213826419
"Locus1000v1rpkm124.69",611.026708050784,1.3212790797047,0.315367844155644,4.1896442652302,2.7939210903472e-05,0.00101672118916349
"Locus10010v1rpkm3.07",33.3888456391697,-0.694992739339754,0.422946265703824,-1.64321758033073,0.10033792376334,0.447367237437426
"Locus10011v1rpkm3.07",23.8603519034669,0.0566489929778358,0.701904188489018,0.0807075864581795,0.93567450338043,0.984839137088802
"Locus10012v1rpkm3.07",17.2284406854985,-0.0515503615830642,0.550236666491697,-0.0936876161157138,0.925357307913869,0.98337793519598
"Locus10013v1rpkm3.07",25.0501141373875,-0.222063284653874,0.535088275936449,-0.415003083865452,0.678139645575514,0.91779742698806
"Locus10015v1rpkm3.07",125.780074542017,-0.55597593698706,0.291023909017642,-1.9104132676376,0.0560800239056155,0.332369070480049
"Locus10016v1rpkm3.07",24.3994671360792,0.46198641044872,0.754446747954928,0.61235125169672,0.540305387268301,0.864896055614654
"Locus10017v1rpkm3.07",96.6423658531221,0.16336236777902,0.38024410804254,0.429624981225861,0.667468462038311,0.914156761610621
"Locus10018v1rpkm3.07",21.5276844754981,0.249939321724006,0.567672316889485,0.440288022311055,0.659728514690311,0.911437690318303
"Locus10019v1rpkm3.07",31.6192626059986,4.63400590991403,0.693761814146606,6.67953440996792,2.39702555435721e-11,2.79665179945004e-09
"Locus1001v1rpkm123.92",797.044794457353,0.268437238330821,0.312549933225854,0.858861928269374,0.390416696144508,0.777511970580817
"Locus10020v1rpkm3.07",43.0199908490121,0.0682125355953735,0.384143321832088,0.177570536095873,0.859060265551686,0.973528064464183
"Locus10021v1rpkm3.07",8.44988309544972,-0.949700383744904,0.905869431154199,-1.04838550798083,0.294461027715134,0.708970124070275
"Locus10022v1rpkm3.07",10.455782803222,0.433002816804276,0.694355984752576,0.623603492030922,0.532888016725408,0.859594770198537
"Locus10023v1rpkm3.07",18.7978519258595,-0.118452772320509,0.52424195750188,-0.225950576113672,0.821239860769414,0.965076909403252
"Locus10024v1rpkm3.07",30.1091553079167,-0.340171390131389,0.458518886971328,-0.741891773266607,0.45815291063682,0.821108007290474
"Locus10025v1rpkm3.06",5.23950431006407,1.17208938031421,1.24285993641525,0.943058301239352,0.345651082902213,0.752918393417647
"Locus10026v1rpkm3.06",39.7281643295654,0.500480660618251,0.418030843190483,1.19723381365474,0.23121543371631,0.647285696826083
"Locus10028v1rpkm3.06",12.4731400609773,-0.148050924237333,0.772647373253004,-0.191615126592624,0.848043692769156,0.971646090510346
"Locus1002v1rpkm123.72",635.942419934115,0.285880399604237,0.268831621733431,1.06341805238861,0.287592409706499,0.702421552009951
"Locus10030v1rpkm3.06",13.7069117584615,0.363660247714164,0.680303833830291,0.534555634747286,0.592957168772043,0.885110377099431
"Locus10031v1rpkm3.06",61.4258600780898,0.12944886633477,0.354808148221459,0.364841864493969,0.715229452591063,0.933930907034868
"Locus10032v1rpkm3.06",20.3810327360024,0.344763084117275,0.742997015639576,0.464016781844676,0.642635722235823,0.905007313982522
"Locus10033v1rpkm3.06",51.4020510493709,-0.418806313178689,0.385701790462997,-1.0858293208231,0.277554511598744,0.693838423452393
"Locus10035v1rpkm3.06",3.75883784243758,0.0828543386453576,1.35669633490487,0.0610706585649968,0.951302936592961,NA
"Locus10036v1rpkm3.06",44.1385194706286,-0.011165974139389,0.397798838494827,-0.028069398547362,0.977606800873822,0.995725503218872
"Locus10037v1rpkm3.06",14.66573716445,-0.0104163985601631,0.75533615510821,-0.0137904143601743,0.988997190040247,0.998008256475316
"Locus10038v1rpkm3.05",27.0865125851273,-0.122367411785735,0.468174634440711,-0.261371297767801,0.793806188986911,0.958753438880917
"Locus10039v1rpkm3.05",35.2901541488855,0.234747446235529,0.41481448521184,0.565909471834493,0.571455322358125,0.874965995096562
"Locus1003v1rpkm123.70",1381.99412937274,0.161595535203975,0.202694736632524,0.797235971138908,0.425313998616638,0.801480298784905
"Locus10040v1rpkm3.05",19.6042479615491,0.0145108441046244,0.578979425393169,0.0250627975161129,0.980004874135731,0.996057831440589
"Locus10041v1rpkm3.05",39.5152966396887,-0.0961810467946064,0.793212619080045,-0.121255063877016,0.903489011151578,0.979419781391246
"Locus10042v1rpkm3.05",46.1476924358594,-0.766643894216747,0.534745774101332,-1.43366050064656,0.151669169302296,0.543362060348354
"Locus10043v1rpkm3.05",13.7496493671732,-1.49163382403263,0.807617669920979,-1.84695540920815,0.0647536031538846,0.357094032697379
"Locus10044v1rpkm3.05",14.8372600541509,0.0217486586442608,0.638589575090099,0.0340573343077081,0.97283143102162,0.994893615528853
"Locus10045v1rpkm3.05",85.2803210477055,0.0614106267105761,0.292549167992358,0.20991557464344,0.833733566238473,0.968443823254965
"Locus10046v1rpkm3.05",19.8312833265419,-0.822057175918839,0.571088654872568,-1.43945632417137,0.150021276015446,0.54040188136226
"Locus10048v1rpkm3.05",91.5451786577528,0.149704799072953,0.297055166563395,0.503962953430081,0.614287410524324,0.893562426136359
"Locus10049v1rpkm3.04",39.0308289632309,-0.211561722465559,0.436455520130253,-0.484726879848883,0.627870096581659,0.899686661241037
"Locus1004v1rpkm123.58",1319.19603467322,0.32579821653212,0.235504015066386,1.38340833144727,0.16653969737282,0.566776382686748
"Locus1004v2rpkm73.82",507.562384970815,0.510677396707507,0.262629637561437,1.9444774072311,0.0518379072955427,0.322462586530352
"Locus10050v1rpkm3.04",6.29562738545036,-0.033071990981328,0.883685843579833,-0.037425054640858,0.970146095946547,0.993974439446135
