"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Locus10000v1rpkm3.08",12.396561289971,0.134978627937353,0.686527041755044,0.196610795682997,0.844132121779297,0.912267017826913
"Locus10002v1rpkm3.08",6.48594220060494,-0.396576111290227,0.98081281259106,-0.404334146331728,0.685967018962921,0.803780370172222
"Locus10004v1rpkm3.08",14.2600855023092,0.0713799040901256,0.405794936016134,0.175901416589604,0.860371392427339,0.921586999883346
"Locus10005v1rpkm3.08",15.5751165542679,0.581392370833705,0.390282915007906,1.48966902848393,0.136311282004476,0.266267144055474
"Locus10006v1rpkm3.08",23.2088380746927,-0.0847882106000679,0.322875390523074,-0.262603509244563,0.792856194984604,0.879006608295103
"Locus10007v1rpkm3.07",12.1107602549507,-0.300396170724407,0.515013400022387,-0.583278358798721,0.559705928603609,0.706179115765176
"Locus10008v1rpkm3.07",24.8863363873837,-0.0531240076049693,0.374339573834378,-0.141913950109035,0.887147975250051,0.938465882501089
"Locus10009v1rpkm3.07",4.086436411237,0.470070222793771,0.730898843719276,0.643139918516981,0.52013331440063,0.673802784635916
"Locus10009v2rpkm1.98",8.50007785197678,0.896780726213286,0.539224335244202,1.66309394364992,0.0962936320285527,0.204239773018821
"Locus1000v1rpkm124.69",389.586464340203,1.11649020723926,0.30294956837687,3.68539956409622,0.000228344118574862,0.00139932932796111
"Locus10010v1rpkm3.07",19.3055169489019,-0.219347141628811,0.336146805760094,-0.652533767598428,0.514056896580069,0.669118616693624
"Locus10011v1rpkm3.07",12.3610321642631,-1.88711843558122,0.750382240943253,-2.51487619590924,0.0119074189684233,0.0391677317094993
"Locus10012v1rpkm3.07",12.3382552424979,0.204623056964946,0.422830584276571,0.483936272762859,0.628431096748647,0.760558562598562
"Locus10013v1rpkm3.07",12.4866832236448,-0.432984410454217,0.463858257321832,-0.93344120454841,0.350592214169986,0.520423317016424
"Locus10014v1rpkm3.07",1.23360307260517,-0.356043661867216,1.59496774028572,-0.223229381306128,0.823356985854565,0.898491282506476
"Locus10015v1rpkm3.07",74.778517595205,-0.537482019824025,0.272751365232282,-1.97059332541302,0.0487704107011912,0.121116654514374
"Locus10016v1rpkm3.07",21.8002597310951,1.51282437131675,0.64174333658706,2.35736669953178,0.0184050619006009,0.055670508896017
