"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Locus10000v1rpkm3.08",48.5189089754917,0.89689228098841,0.284361695700458,3.15405448254599,0.00161019022233094,0.0273612684595025
"Locus10002v1rpkm3.08",23.5745431881464,-1.07326145196993,0.486915767186435,-2.20420352820284,0.0275100337670307,0.167945503626568
"Locus10004v1rpkm3.08",17.2996240278987,-1.0151820053238,0.410085507585756,-2.47553738560611,0.013303583258619,0.107823016314285
"Locus10005v1rpkm3.08",41.1675406197152,0.089328192655092,0.306221457778943,0.291711081591078,0.770507535685305,0.904652815481237
"Locus10006v1rpkm3.08",47.0375479524015,-0.538817707642016,0.283192797549247,-1.90265328887228,0.057085800813527,0.251754452781437
"Locus10007v1rpkm3.07",12.3339996413205,-0.156099424869135,0.49232539513919,-0.317065555444286,0.751193860235374,0.895180414984727
"Locus10008v1rpkm3.07",14.5376598254597,-0.965054432289779,0.421314688410429,-2.29057865494986,0.0219877946312735,0.147819667645021
"Locus10009v1rpkm3.07",16.9042950406333,-0.601058535559807,0.411932630980268,-1.45911853141976,0.144532486576278,0.412394209024329
"Locus10009v2rpkm1.98",15.9575428949134,-0.0703770970884757,0.446462671437334,-0.15763265686223,0.87474626882315,0.952199560909805
"Locus1000v1rpkm124.69",487.895562151624,0.0181220996056776,0.180926624952538,0.100162701926439,0.920215156608957,0.969460094254969
"Locus10010v1rpkm3.07",23.6540376920544,-0.318710000092302,0.388365852851424,-0.820643724859689,0.411849234053528,0.682769024153688
"Locus10011v1rpkm3.07",7.21464216840669,0.760167485210998,0.760584383916091,0.99945187054335,0.317575843125535,0.602934117435896
"Locus10012v1rpkm3.07",25.1270024833527,-0.582895573673383,0.356075281634251,-1.63700094822115,0.101630271438889,0.342844205463076
"Locus10013v1rpkm3.07",18.6270535612939,-0.279310868576517,0.395174353894977,-0.706804138030546,0.479688202683257,0.731006334826305
"Locus10014v1rpkm3.07",34.4286238313931,2.73405792403693,0.437596017174068,6.24790404102185,4.15997104765697e-10,8.02272970600545e-08
"Locus10015v1rpkm3.07",53.3058168527398,0.0823029870010645,0.270624778162568,0.304122141216589,0.761034839018061,0.899898192729091
"Locus10016v1rpkm3.07",30.5517274814494,-0.778083439294063,0.33818446168086,-2.30076637887736,0.0214048398046185,0.145490176698937
"Locus10017v1rpkm3.07",49.9089654894801,-0.784752066723351,0.275219519011272,-2.85136777196101,0.00435315875703783,0.0537663767067143
"Locus10018v1rpkm3.07",17.8365062029196,-0.0113398699065616,0.420168817297102,-0.0269888421980234,0.97846863342728,0.992877500416882
"Locus10019v1rpkm3.07",72.0196605615255,0.171756054847266,0.243061252977731,0.706636918649479,0.479792140032198,0.731006334826305
"Locus1001v1rpkm123.92",1828.57131712913,-0.118633301582992,0.171617250867419,-0.691266763588005,0.489397914462122,0.738549299217045
"Locus10020v1rpkm3.07",70.4890279360251,0.25973899594576,0.294560897903044,0.881783691572175,0.377893792457702,0.653798739285607
"Locus10021v1rpkm3.07",39.1057757546058,0.135945793240793,0.371385527365655,0.366050325668573,0.714327523194098,0.877801371393208
"Locus10022v1rpkm3.07",47.4649616802243,0.24648014823339,0.265056196274043,0.92991656749859,0.352414284269588,0.634686706604781
"Locus10023v1rpkm3.07",7.36430830190596,-0.36672619135408,0.59973711763656,-0.611478230327434,0.54088302611223,0.774155722748912
