"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Locus10000v1rpkm3.08",12.396561289971,0.657721900029234,0.687255148080392,0.957027243617383,0.338553504297503,0.522020671352137
"Locus10002v1rpkm3.08",6.48594220060494,1.77412852598258,0.87087451610199,2.03718043550468,0.0416319636797912,0.116675781228951
"Locus10004v1rpkm3.08",14.2600855023092,-1.2578746161615,0.496184011143712,-2.53509703640406,0.0112416181335564,0.0420243364108993
"Locus10005v1rpkm3.08",15.5751165542679,0.237750841663524,0.425744751890409,0.558435167099189,0.576547264407185,0.731544425833403
"Locus10006v1rpkm3.08",23.2088380746927,0.140473849882703,0.333083569307512,0.421737554256284,0.673216589959559,0.803237455132685
"Locus10007v1rpkm3.07",12.1107602549507,0.0994390623731719,0.519634689489962,0.191363402760456,0.848240890543939,0.917444536986167
"Locus10008v1rpkm3.07",24.8863363873837,-0.722458311817448,0.405643437544135,-1.78101811825526,0.0749094909087958,0.181365873787418
"Locus10009v1rpkm3.07",4.086436411237,0.999016761607052,0.730189465028968,1.36816101772629,0.171261680653742,0.328348619670905
"Locus10009v2rpkm1.98",8.50007785197678,0.351576622171906,0.598773658824806,0.587161136750628,0.557095490606676,0.71741192995566
"Locus1000v1rpkm124.69",389.586464340203,0.95976783090351,0.304352105340194,3.15347853378809,0.0016133709368776,0.00880551255511076
"Locus10010v1rpkm3.07",19.3055169489019,-0.664350791697043,0.371512580690483,-1.788232286676,0.0737385393021658,0.179293188094338
"Locus10011v1rpkm3.07",12.3610321642631,-1.68284096171012,0.773957344981956,-2.17433295597105,0.0296801391213867,0.0895861515984204
"Locus10012v1rpkm3.07",12.3382552424979,0.450958007821483,0.433281631693981,1.04079650470848,0.297970002611426,0.479245215950289
"Locus10013v1rpkm3.07",12.4866832236448,-0.821369228754479,0.505990755314412,-1.62328900306508,0.104527639247016,0.231047776569324
"Locus10014v1rpkm3.07",1.23360307260517,0.664459553693612,1.48630914530571,0.447053397869622,0.654836505770424,NA
"Locus10015v1rpkm3.07",74.778517595205,-0.812922056952614,0.285119864133451,-2.85115896580297,0.0043560185911175,0.0197168952147529
"Locus10016v1rpkm3.07",21.8002597310951,0.56129224958691,0.664424940327453,0.844779019448433,0.398234230786764,0.580841972165862
"Locus10017v1rpkm3.07",73.5193917967822,0.398491026695431,0.336566590899428,1.18398865921456,0.236417552100873,0.409288595786968
"Locus10018v1rpkm3.07",12.8024844949418,0.0399311058574975,0.499517879115714,0.0799392925197926,0.936285538897964,0.970181771443048
"Locus10019v1rpkm3.07",97.4501852379092,6.54279615484545,0.59792030331872,10.9425890349099,7.21107184348121e-28,1.3449036680127e-25
"Locus1001v1rpkm123.92",629.277297148335,0.52885129347791,0.238537911721494,2.21705342207981,0.0266194411590722,0.082493158281956
"Locus10020v1rpkm3.07",28.2808576271828,0.214112736420431,0.304477149634348,0.70321446675904,0.481922104945472,0.657026768953851
"Locus10021v1rpkm3.07",8.35086965807684,1.03838076214001,0.617620581913344,1.68125997181502,0.0927124292308578,0.211842587934294
"Locus10022v1rpkm3.07",11.2447166264199,1.55089986984657,0.46163806220128,3.35955805388153,0.000780672471692219,0.00490607392083389
"Locus10023v1rpkm3.07",8.02222645340202,-1.12729118176418,0.574988830913516,-1.96054448566104,0.0499321837334113,0.134191776705302
"Locus10024v1rpkm3.07",42.7346541706625,1.22560702113298,0.3452146962555,3.55027475489016,0.000384829290513387,0.00275096591284273
"Locus10025v1rpkm3.06",6.04940576492282,1.80484355417028,0.965101633883336,1.87010724135657,0.061468927107074,0.156975639086013
"Locus10026v1rpkm3.06",39.316473430249,1.19529867847328,0.324823356861881,3.67984214565438,0.000233378373834646,0.00181116236875254
