"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Locus10000v1rpkm3.08",12.396561289971,1.09224380003147,0.764796448299118,1.42814967624469,0.153248781729871,0.288789323832644
"Locus10002v1rpkm3.08",6.48594220060494,1.9427839531003,0.972406756154782,1.99791284953912,0.045726109319277,0.117323296689446
"Locus10004v1rpkm3.08",14.2600855023092,-0.169670124964626,0.512477945763877,-0.331077905629136,0.740585640163902,0.838726600097411
"Locus10005v1rpkm3.08",15.5751165542679,0.00881280901286264,0.532205693219895,0.0165590280696629,0.9867884109368,0.994416554685494
"Locus10006v1rpkm3.08",23.2088380746927,0.48969149421936,0.378678530031995,1.2931588547626,0.195956122939679,0.344202779380052
"Locus10007v1rpkm3.07",12.1107602549507,-0.863321005062474,0.683308193441575,-1.2634430749531,0.206429992132902,0.356430878927792
"Locus10008v1rpkm3.07",24.8863363873837,-0.993450108830671,0.496961950994855,-1.9990466208568,0.045603309814153,0.117047975902931
"Locus10009v1rpkm3.07",4.086436411237,-3.6311801276979,1.60205710474929,-2.26657346790778,0.0234162944149851,0.0704109193489625
"Locus10009v2rpkm1.98",8.50007785197678,-0.0857002925912463,0.779643237485815,-0.109922447179317,0.912470880142987,0.951082108726441
"Locus1000v1rpkm124.69",389.586464340203,1.15918979232649,0.340464246661123,3.40473281319396,0.000662288190556184,0.00389444759380834
"Locus10010v1rpkm3.07",19.3055169489019,-0.646885184868629,0.449492420881159,-1.43914592286231,0.150109183134801,0.284234673361506
"Locus10011v1rpkm3.07",12.3610321642631,-1.04626059128069,0.857445716189154,-1.22020621425542,0.222386711726405,0.375548906603748
"Locus10012v1rpkm3.07",12.3382552424979,-0.287273984904506,0.574892804696394,-0.499700087664547,0.617286270752045,0.748020290921003
"Locus10013v1rpkm3.07",12.4866832236448,-1.43652286804808,0.679980163348813,-2.1125952571519,0.0346354250182643,0.0951286409883539
"Locus10014v1rpkm3.07",1.23360307260517,1.1542732985019,1.64541759479414,0.70150781306451,0.482986160444103,NA
"Locus10015v1rpkm3.07",74.778517595205,-1.15046871141782,0.343861614743175,-3.34573171907277,0.000820657564966655,0.00467642358893406
"Locus10016v1rpkm3.07",21.8002597310951,0.713815941639124,0.749184235390102,0.952790926343289,0.340696012554825,0.50606037339123
"Locus10017v1rpkm3.07",73.5193917967822,0.377560811592211,0.3829777895586,0.985855634154052,0.324203960557111,0.489512163182588
"Locus10018v1rpkm3.07",12.8024844949418,0.359814961975247,0.566686438144544,0.634945426174941,0.525464008669423,0.673568254741381
"Locus10019v1rpkm3.07",97.4501852379092,6.68441198573092,0.623098149742469,10.7277031531768,7.54481832538201e-27,9.40162030590066e-25
