"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Locus10000v1rpkm3.08",12.396561289971,0.412551338156711,0.693512640592692,0.594872124903355,0.551928951475072,0.706795143736807
"Locus10002v1rpkm3.08",6.48594220060494,1.04263968679564,0.903048987910098,1.15457710573221,0.248263646480044,0.420772074485346
"Locus10004v1rpkm3.08",14.2600855023092,-0.997002656036659,0.473479866916215,-2.10569176368609,0.0352311357401491,0.100580315043912
"Locus10005v1rpkm3.08",15.5751165542679,0.140432127384561,0.427949127002209,0.328151451945446,0.742797152848721,0.846111864755737
"Locus10006v1rpkm3.08",23.2088380746927,0.303801269145689,0.324893663345313,0.93507908408418,0.349747544740813,0.528779521397129
"Locus10007v1rpkm3.07",12.1107602549507,-0.326899253048365,0.535224676117808,-0.610770145015532,0.541351760762829,0.69741791132097
"Locus10008v1rpkm3.07",24.8863363873837,-0.876710635038378,0.409470055203347,-2.14108607918348,0.032267097076037,0.0941147946140506
"Locus10009v1rpkm3.07",4.086436411237,0.317017516251579,0.772710808677833,0.41026670352136,0.681610314321369,0.804747878979915
"Locus10009v2rpkm1.98",8.50007785197678,1.14913915052593,0.548226751654012,2.09610192691063,0.0360731501252443,0.102306598312816
"Locus1000v1rpkm124.69",389.586464340203,0.754525673961778,0.304735962918349,2.47599812879304,0.0132864274551946,0.0470974107553541
"Locus10010v1rpkm3.07",19.3055169489019,-0.764686889454663,0.373701868861499,-2.04624850227354,0.0407319275631129,0.112467196126564
"Locus10011v1rpkm3.07",12.3610321642631,-1.01486698754148,0.725596132623565,-1.39866647837826,0.161913020966975,0.313423862952973
"Locus10012v1rpkm3.07",12.3382552424979,-0.329791622320048,0.471428216820783,-0.699558512946247,0.484203059182875,0.65062645859085
"Locus10013v1rpkm3.07",12.4866832236448,-0.470512411891478,0.484605437936102,-0.970918555712777,0.331588837138845,0.511406302147003
"Locus10014v1rpkm3.07",1.23360307260517,0.0777078760966967,1.57491766942134,0.049340913246118,0.960647615151322,NA
"Locus10015v1rpkm3.07",74.778517595205,-0.531324444953793,0.279371161557445,-1.90185859553919,0.0571896434016855,0.145184757925493
"Locus10016v1rpkm3.07",21.8002597310951,0.536900013276085,0.663795449287555,0.808833525225782,0.418610909549307,0.593573802297404
"Locus10017v1rpkm3.07",73.5193917967822,0.229821645157129,0.337997455071717,0.679950815334883,0.496535604460221,0.660711049850257
"Locus10018v1rpkm3.07",12.8024844949418,0.163748553163275,0.491830044541688,0.332937271686735,0.739181634134415,0.844116381806133
"Locus10019v1rpkm3.07",97.4501852379092,6.14960013896293,0.599299525958838,10.2613132041511,1.05265351869202e-24,9.09109857052203e-23
