"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Locus10000v1rpkm3.08",12.396561289971,-0.0930798388109294,0.679798406050931,-0.136922708235882,0.891091889306067,0.9670501037889
"Locus10002v1rpkm3.08",6.48594220060494,2.49828029716479,0.830886468304643,3.006764934158,0.0026404385546689,0.0351311036121199
"Locus10004v1rpkm3.08",14.2600855023092,-0.490042240714714,0.407870303439448,-1.20146584976238,0.229570545889173,0.561188689951021
"Locus10005v1rpkm3.08",15.5751165542679,0.991785685572356,0.367799716252808,2.69653738637104,0.00700645320473258,0.0715749051932562
"Locus10006v1rpkm3.08",23.2088380746927,-0.0530598779880477,0.306896169847468,-0.172891952396862,0.862736357453025,0.958066755923562
"Locus10007v1rpkm3.07",12.1107602549507,-0.186632902388495,0.497739828037573,-0.374960756354033,0.707689652768611,0.894237152686367
"Locus10008v1rpkm3.07",24.8863363873837,-0.00452232451293846,0.366593971936645,-0.0123360580345822,0.990157499389553,0.997959469469285
"Locus10009v1rpkm3.07",4.086436411237,0.330336789601694,0.712769775219222,0.463455103017092,0.64303818932611,0.867762710217791
"Locus10009v2rpkm1.98",8.50007785197678,0.611475381130464,0.531047592915496,1.15145118683885,0.249546665944487,0.581505465004045
"Locus1000v1rpkm124.69",389.586464340203,1.25120941029564,0.302252670702559,4.13961407648546,3.4789057308485e-05,0.000998413431615847
"Locus10010v1rpkm3.07",19.3055169489019,-0.756524404797766,0.337305062563155,-2.24284924468372,0.0249065376706094,0.165734638511594
"Locus10011v1rpkm3.07",12.3610321642631,-0.0125872178848068,0.663882876038658,-0.0189599978235828,0.984873016780951,0.995916129083196
"Locus10012v1rpkm3.07",12.3382552424979,-0.145456448167686,0.417551282163698,-0.348355889159169,0.727572925614637,0.903996204139482
"Locus10013v1rpkm3.07",12.4866832236448,-0.304483219925089,0.445761290824611,-0.68306339332836,0.494566785630391,0.778429362026553
"Locus10014v1rpkm3.07",1.23360307260517,0.285940285495062,1.39439661017419,0.205063812841127,0.837522268765986,NA
"Locus10015v1rpkm3.07",74.778517595205,-0.626469748132988,0.268866661490903,-2.33003878078125,0.0198041015314235,0.142891059639792
"Locus10016v1rpkm3.07",21.8002597310951,0.412839352293092,0.648784832205577,0.636327071472408,0.524563263675374,0.798027249334744
"Locus10017v1rpkm3.07",73.5193917967822,0.0978337893022206,0.329784976335663,0.296659327508731,0.766726611769794,0.920287710843763
"Locus10018v1rpkm3.07",12.8024844949418,0.213691358272702,0.460253753365591,0.464290310964529,0.642439764799328,0.86739537009575
"Locus10019v1rpkm3.07",97.4501852379092,4.57174734018859,0.602712870729334,7.58528241591454,3.31763628993e-14,4.50787500845886e-12
"Locus1001v1rpkm123.92",629.277297148335,0.207248060744206,0.237415109431664,0.872935430437964,0.382698273122503,0.700435008406594
"Locus10020v1rpkm3.07",28.2808576271828,-0.00927646428069727,0.285188570381603,-0.0325274756568423,0.974051405212995,0.992156786644861
"Locus10021v1rpkm3.07",8.35086965807684,-0.929115363625208,0.660357274458218,-1.40698891276315,0.159430676469788,0.468946093202515
"Locus10022v1rpkm3.07",11.2447166264199,0.313068025857371,0.470217205356771,0.665794493036118,0.505542465307998,0.78587617822608
"Locus10023v1rpkm3.07",8.02222645340202,-0.191867468704417,0.47128174266717,-0.407118399322163,0.683921030385488,0.883618604892189
"Locus10024v1rpkm3.07",42.7346541706625,-0.410374484872606,0.3582256091899,-1.1455755098041,0.251970835329471,0.584228360865102
"Locus10025v1rpkm3.06",6.04940576492282,1.16112053146438,0.950478545135357,1.22161677126445,0.221852583358886,0.552168028025991
"Locus10026v1rpkm3.06",39.316473430249,0.451744978135516,0.320076865704342,1.41136403951417,0.158137300599035,0.46675127131826
"Locus10028v1rpkm3.06",11.8087624171547,-0.164530550926065,0.551546791854412,-0.298307511449536,0.765468471830522,0.920165835215318
"Locus1002v1rpkm123.72",335.496150104247,0.219279134440386,0.19285420336556,1.13702024956509,0.255529820612507,0.586633502644203
"Locus10030v1rpkm3.06",11.9268399082876,0.344595724936101,0.535379714837803,0.643647331764332,0.519804150199528,0.7949275818888
"Locus10031v1rpkm3.06",70.560364096958,0.0607321942032083,0.279318961739892,0.217429543003111,0.827873609873156,0.944541225218807
"Locus10032v1rpkm3.06",17.907708074976,0.311481990436762,0.620258409981522,0.502181002988804,0.615540204651938,0.853826389215453
"Locus10033v1rpkm3.06",28.4866110581085,-0.46038535747803,0.299908257795383,-1.53508729923714,0.124762385625405,0.411915576311319
"Locus10035v1rpkm3.06",2.9544160798008,0.0595226953411302,1.10625739750644,0.0538054664992954,0.957090154194104,0.988393306702582
"Locus10036v1rpkm3.06",25.1924649687762,-0.0919119928652332,0.318952608622528,-0.288168180414566,0.773218004478623,0.921738295090432
